road_id,source_point_id,target_point_id,distance
933,1099,16,153
934,1099,1098,56
935,120,1096,74
936,120,1101,39
939,1100,147,41
940,147,1100,59
941,1101,120,54
942,1101,148,281
1003,1085,1084,81
1004,1085,183,269
1005,1085,174,23
1030,174,1085,24
1031,174,1087,66
1032,183,1085,164
1045,869,670,8
1046,893,689,5
1047,905,826,11
1048,907,830,14
1049,909,846,11
1050,927,691,11
1051,940,829,10
1052,940,838,11
1053,940,847,7
1054,941,827,14
1069,681,882,14
1072,683,905,13
1077,687,910,14
1101,183,948,13
1102,858,671,5
1103,858,1100,13
1104,1100,858,14
1106,869,673,14
1107,880,147,10
1108,147,880,11
1109,869,149,7
1111,873,151,12
1112,873,152,12
1114,874,680,11
1115,874,681,12
1116,681,874,5
1117,875,679,7
1118,875,150,14
1120,877,678,8
1121,877,148,5
1123,877,157,9
1125,878,677,12
1126,878,160,12
1127,160,878,6
1128,879,676,12
1129,879,159,8
1130,159,879,9
1131,880,674,13
1132,880,675,10
1133,880,1101,12
1134,1101,880,14
1135,882,681,11
1136,893,682,14
1137,893,683,8
1138,683,893,6
1139,904,153,6
1140,905,683,11
1141,905,154,5
1143,906,684,12
1144,907,685,9
1145,907,155,13
1147,908,686,7
1148,908,687,13
1149,687,908,13
1150,908,158,8
1152,909,156,5
1153,910,687,10
1154,910,1102,6
1156,911,688,7
1157,912,698,6
1158,913,699,6
1159,927,162,12
1160,927,700,8
1161,931,703,5
1162,931,704,5
1163,932,170,12
1164,933,169,6
1165,933,184,14
1167,934,164,8
1169,934,167,6
1170,935,165,6
1171,935,166,10
1172,936,701,7
1173,936,168,5
1175,939,172,11
1176,940,174,11
1177,174,940,5
1178,940,175,13
1179,940,176,12
1181,940,177,8
1182,942,706,6
1183,942,185,11
1185,943,179,7
1186,943,180,11
1187,943,186,8
1189,945,707,5
1190,946,708,11
1191,947,182,6
1192,948,183,8
1193,949,705,6
1194,943,509,8
1196,912,161,13
1198,927,163,8
1200,931,171,5
1202,940,173,6
1204,949,178,6
1206,945,181,12
1209,880,741,10
1211,880,742,13
1213,1019,805,11
1215,857,743,9
1217,1014,744,6
1222,850,849,46
1223,850,851,39
1224,851,850,66
1225,851,852,62
1226,852,851,63
1227,852,853,63
1228,853,852,80
1229,853,854,63
1230,854,853,44
1231,854,855,71
1232,855,854,46
1233,855,856,43
1234,856,855,76
1235,856,857,58
1236,857,856,49
1237,857,858,63
1238,858,857,55
1239,858,859,89
1250,864,865,76
1251,864,870,60
1252,865,864,71
1253,865,866,54
1254,866,865,60
1255,866,867,66
1256,867,866,49
1257,867,868,53
1258,868,867,44
1259,868,869,69
1260,869,859,40
1261,869,868,44
1262,869,880,64
1270,873,874,84
1271,873,881,70
1272,874,873,39
1273,874,875,33
1274,875,874,49
1275,875,876,76
1276,876,875,72
1277,876,877,35
1278,877,876,39
1279,877,878,84
1280,878,877,76
1281,878,879,81
1282,879,878,31
1283,879,880,79
1284,880,869,33
1285,880,879,85
1289,882,881,54
1290,882,893,75
1291,893,882,47
1292,893,914,83
1313,904,905,73
1314,904,914,62
1315,905,904,58
1316,905,906,70
1317,906,905,62
1318,906,907,71
1319,907,906,72
1320,907,908,39
1321,908,907,46
1322,908,909,59
1323,909,908,84
1324,909,910,42
1325,910,909,79
1326,910,911,78
1327,911,910,74
1328,911,912,67
1329,912,911,69
1330,912,913,55
1331,913,912,83
1332,913,927,48
1333,914,893,75
1334,914,904,42
1335,914,918,34
1356,918,914,33
1357,918,919,42
1363,919,918,38
1364,919,920,54
1365,920,919,34
1366,920,921,46
1367,921,920,34
1368,921,928,59
1369,922,923,55
1370,922,928,47
1371,923,922,39
1372,923,924,40
1373,924,923,71
1374,924,925,72
1379,927,913,44
1380,927,926,42
1381,927,936,82
1382,928,921,39
1383,928,922,79
1384,928,929,41
1385,929,928,76
1386,929,930,49
1387,930,929,37
1388,930,937,42
1389,931,932,86
1390,931,937,67
1391,932,931,74
1392,932,933,57
1393,933,932,30
1394,933,934,50
1395,934,933,34
1396,934,935,30
1397,935,934,61
1398,935,936,73
1399,936,927,67
1400,936,935,38
1401,937,930,47
1402,937,931,76
1403,937,938,82
1404,938,937,58
1405,938,939,75
1406,939,938,30
1407,939,940,77
1408,940,939,30
1409,940,941,70
1410,941,940,76
1411,941,949,36
1412,942,943,57
1413,942,949,67
1414,943,942,89
1415,943,944,58
1416,944,943,35
1417,944,945,74
1418,945,944,35
1419,945,946,34
1420,946,945,72
1421,946,947,55
1422,947,946,35
1423,947,948,48
1424,948,947,71
1425,948,962,85
1426,949,941,65
1427,949,942,62
1428,949,950,60
1429,950,949,88
1430,950,951,37
1431,951,950,89
1432,951,952,72
1433,952,951,41
1434,952,963,55
1435,953,954,68
1436,953,963,55
1437,954,953,75
1438,954,955,53
1439,955,954,63
1440,955,956,66
1441,956,955,31
1442,956,957,69
1443,957,956,49
1444,957,958,83
1445,958,957,75
1446,958,959,40
1447,959,958,86
1448,959,960,31
1449,960,959,36
1450,960,961,89
1451,961,960,58
1452,961,962,61
1453,962,948,87
1454,962,961,39
1455,963,952,39
1456,963,953,60
1457,963,964,70
1458,964,963,59
1459,964,965,71
1460,965,964,55
1461,965,966,44
1462,966,965,45
1463,966,967,57
1464,967,966,63
1465,967,968,48
1466,968,967,80
1467,968,969,34
1468,969,968,36
1469,969,970,79
1470,970,969,72
1471,970,971,62
1472,971,970,36
1473,971,972,57
1474,972,971,31
1475,972,973,57
1476,973,972,35
1477,973,974,88
1478,974,973,82
1479,974,975,36
1480,975,974,82
1481,975,976,61
1482,976,975,33
1483,976,977,65
1484,977,976,31
1485,977,978,31
1486,978,977,81
1487,978,979,82
1488,979,978,59
1489,979,980,49
1490,980,979,60
1491,980,981,74
1492,981,980,66
1493,981,982,62
1494,982,981,80
1495,982,983,82
1496,983,982,79
1497,983,984,79
1498,984,983,50
1499,984,985,73
1500,985,984,49
1501,985,986,65
1502,986,985,63
1503,986,987,64
1504,987,986,46
1505,987,988,63
1506,988,987,70
1507,988,989,88
1508,989,988,63
1524,998,997,30
1525,998,999,61
1526,999,998,36
1527,999,1000,42
1528,1000,999,50
1529,1000,1001,73
1530,1001,1000,34
1531,1001,1002,86
1532,1002,1001,58
1533,1002,1003,64
1534,1003,1002,35
1535,1003,1006,56
1536,1004,1005,71
1537,1004,1012,89
1538,1005,1004,56
1539,1005,1006,86
1540,1006,1003,35
1541,1006,1005,30
1542,1006,1007,52
1552,1012,1004,65
1553,1012,1013,51
1554,1013,1012,64
1555,1013,1014,61
1556,1014,1013,84
1557,1014,1015,80
1558,1015,1014,59
1559,1015,1016,65
1560,1016,1015,82
1561,1016,1017,79
1562,1017,1016,54
1563,1017,1018,51
1564,1018,1017,39
1565,1018,1019,87
1566,1019,1018,56
1567,1019,1020,64
1568,1020,1019,73
1569,1020,1021,81
1570,1021,1020,70
1571,1021,1022,75
1615,958,839,100
1625,1001,836,775
1626,1001,837,782
1627,1001,840,722
1628,1001,841,825
1629,1001,842,690
1630,1001,843,829
1631,1001,844,891
1632,1001,845,498
1633,989,990,1363
1651,201,1075,10
1656,206,1021,10
1662,1077,187,7
1663,1077,188,10
1668,1077,193,11
1669,1077,194,10
1672,1076,197,10
1673,1076,198,13
1676,1075,201,7
1681,1021,206,10
1687,1018,1060,55
1712,1021,1066,81
1720,1075,1074,78
1721,1075,1076,66
1722,1076,1075,62
1723,1076,1077,82
1724,1077,1076,82
1726,949,4,10
1727,1103,1111,38
1730,1104,1112,57
1731,1109,1112,18
1733,1105,1103,93
1735,1112,1104,52
1736,1105,1104,77
1737,1103,1105,75
1738,1104,1105,122
1740,1103,1107,124
1742,1112,1109,22
1743,28,1109,80
1745,28,1110,104
1747,1109,28,67
1749,1109,29,60
1772,1117,1116,38
1774,1117,201,23
1776,201,1117,23
1778,1118,1117,55
1779,1117,202,29
1780,1118,203,42
1781,1117,1118,31
1784,1119,1118,37
1785,1118,204,23
1786,1119,205,26
1787,1118,1119,25
1789,206,1119,34
1793,1119,206,55
1794,1119,207,27
1795,1119,208,57
1796,1119,209,49
1797,1112,32,1721
1798,32,1090,152
1799,32,1099,130
1804,32,1112,764
1806,1099,32,133
1813,1127,932,59
1814,1128,943,31
1816,1123,1077,52
1817,1123,1103,45
1821,1127,1082,59
1822,1128,1082,50
1823,908,1125,61
1824,879,1124,30
1825,932,1127,73
1826,943,1128,54
1827,927,1126,72
1828,1077,1123,29
1829,1103,1123,68
1833,1082,1127,53
1834,1082,1128,62
1865,1147,669,12
1866,1147,1146,85
1867,1147,1153,56
1868,1153,1147,38
1869,1153,1154,82
1870,1154,1153,62
1881,1147,1148,86
1882,1148,1147,44
1883,1148,1149,47
1884,1149,1148,65
1885,1149,1150,62
1886,1150,1149,58
1887,1150,1151,34
1888,1151,1150,52
1889,1151,1152,55
1890,1152,1151,79
1891,1154,1180,80
1908,1148,1175,8
1909,1149,1167,7
1910,1149,1168,11
1911,1150,1178,8
1912,1150,1160,5
1913,1151,1159,13
1914,1151,1179,10
1915,1152,1156,11
1916,1152,1155,11
1919,1180,1154,73
1922,1155,1152,8
1946,1186,1200,77
1951,1191,1202,60
1958,1199,1185,38
1959,1200,1186,44
1960,1200,1187,57
1961,1201,1188,60
1962,1201,1189,60
1963,1202,1190,88
1964,1202,1191,74
1974,1180,825,6
1975,1180,1198,87
1976,1198,1180,61
1977,1198,1199,81
1978,1199,1198,53
1979,1199,1200,84
1980,1200,1199,35
1981,1200,1201,40
1982,1201,1200,40
1983,1201,1202,51
1984,1202,1201,73
1985,1202,1203,71
2009,1207,28,263
2010,1207,1208,88
2011,1208,1207,59
2012,28,1207,119
2014,1210,1208,363
2015,1208,1209,449
2016,1208,1210,279
2018,1210,1155,11
2019,1210,1209,220
2021,1155,1210,13
